site,sdate,gear,utmzone,utm_e,utm_n,temp,fishcode,length,tfs,catch,weight
SANTA FE,9/17/2015,D,16,286257,4113002,24,FHCF,203,T,1,112
BUMGARD,9/4/1991,N,15,822375,4106344,26,FHCF,204,T,1,90
,7/21/2023,D,15,815929,4144149,28.7,FHCF,205,T,1,46
,10/13/2011,D,15,808929,4132199,19,FHCF,205,T,1,72
,10/3/2005,D,15,814129,4150949,23,FHCF,205,T,1,205
BEDROCK,9/23/1991,D,15,807321,4167599,18.9,FHCF,206,T,1,72
MARQ,7/29/1992,F,15,810914,4129126,26.3,FHCF,206,T,1,85
,8/12/1991,D,15,807513,4164845,27,FHCF,206,T,1,100
,7/19/1991,T,15,823725,4104652,28.2,FHCF,207,T,1,85
,8/28/1992,D,15,810646,4155129,25.3,FHCF,207,T,1,95
SANTA FE,9/17/2015,D,16,286257,4113002,24,FHCF,207,T,1,158
,9/9/1991,D,15,817495,4116734,24,FHCF,208,T,1,75
SANTA FE,9/17/2015,D,16,286257,4113002,24,FHCF,208,T,1,114
,9/13/1991,D,15,823725,4104652,26.1,FHCF,209,T,1,75
Cottonwood,9/26/2019,D,15,807779,4168500,24.2,FHCF,209,T,1,86
Cottonwood,9/23/2019,HS,15,807629,4168550,25.1,FHCF,209,T,1,102
MARQ,7/29/1992,F,15,810914,4129126,26.3,FHCF,209,T,1,105
BEDROCK,6/19/1992,T,15,807321,4167599,27.9,FHCF,210,T,1,80
MARQ,9/19/2002,D,16,278450,4126852,25.3,FHCF,210,T,1,100
Cottonwood,9/26/2019,D,15,807779,4168500,24.2,FHCF,211,T,1,105
,10/23/2008,D,16,280764,4121470,15.4,FHCF,211,T,1,130
,10/7/2011,D,15,813379,4138049,19.4,FHCF,212,T,1,68
,9/10/1991,H,15,807917,4167674,23.8,FHCF,212,T,1,70
BEDROCK,8/17/1992,H,15,807321,4167599,25.1,FHCF,212,T,1,90
,9/21/2018,D,15,809479,4128399,25.3,FHCF,212,T,1,243
,9/22/1992,F,15,807473,4163214,22.9,FHCF,214,T,1,85
,9/28/2023,D,16,277613,4158920,25.3,FHCF,214,T,1,96
,10/27/2023,D,15,818380,4114599,17.7,FHCF,214,T,1,102
Cottonwood,10/5/2018,D,15,807379,4167250,20.6,FHCF,214,T,1,146
SCHIN,6/25/1992,D,15,815993,4144592,25.5,FHCF,215,T,1,110
,10/27/2023,D,15,818380,4114599,17.7,FHCF,216,T,1,74
,6/25/1992,D,15,816643,4143917,25.7,FHCF,216,T,1,95
,9/27/2022,HS,15,813729,4123449,22.7,FHCF,217,T,1,94
Santa Fe,9/30/2019,D,15,816680,4118449,23.7,FHCF,217,T,1,101
PICAY,8/6/1992,N,15,816571,4138554,24.7,FHCF,217,T,1,105
,6/20/1991,T,15,807917,4167674,27,FHCF,217,T,1,107
,9/29/2021,D,15,808729,4128799,23.2,FHCF,217,T,1,166
Bumgard,9/27/2021,D,15,822630,4106049,20.6,FHCF,218,T,1,86
SANTA FE,7/27/1992,D,15,818174,4117664,27.5,FHCF,218,T,1,108
M043.4W,10/29/2001,D,16,280758,4121469,13.4,FHCF,218,,1,110
Cottonwood,9/26/2019,D,15,807779,4168500,24.2,FHCF,219,T,1,77
Cottonwood,9/26/2019,D,15,807429,4167300,24.3,FHCF,219,T,1,85
Cottonwood,10/5/2018,D,15,807379,4167250,20.6,FHCF,219,T,1,166
,9/4/1991,N,15,823725,4104652,26,FHCF,220,T,1,90
,9/4/1991,N,15,823725,4104652,26,FHCF,221,T,1,105
116,8/3/2023,D,16,284253,4136358,27.8,FHCF,222,T,1,98
DITCH,9/16/2019,D,15,808008,4127667,29.1,FHCF,222,T,1,104
,8/18/1992,F,15,810646,4155129,24.7,FHCF,223,T,1,90
,10/21/1991,D,15,817495,4116734,16.1,FHCF,223,T,1,115
,10/29/1992,D,15,809534,4155918,13.9,FHCF,224,T,1,120
,9/25/1991,D,15,807513,4164845,17.2,FHCF,224,T,1,125
,10/3/2005,D,15,814129,4150949,23,FHCF,224,T,1,130
SANTA FE,7/29/1992,F,15,820498,4114719,27.1,FHCF,225,T,1,110
,9/29/2021,D,15,808729,4128799,23.2,FHCF,226,T,1,178
SANTA FE,7/29/1992,F,15,820498,4114719,27.1,FHCF,227,T,1,115
,6/19/1992,N,15,811224,4136689,25.2,FHCF,229,T,1,110
,7/26/1991,D,15,810109,4156397,28.2,FHCF,229,T,1,135
,8/14/2023,HS,15,812229,4152200,27.8,FHCF,230,T,1,104
Bumgard,9/27/2021,D,15,822630,4106049,20.6,FHCF,230,T,1,124
Santa Fe,9/17/2020,D,15,820030,4115149,23.7,FHCF,231,T,1,119
,10/28/1992,D,15,816643,4143917,13.1,FHCF,232,T,1,120
,9/30/2019,D,15,813929,4125699,23.6,FHCF,233,T,1,147
,7/12/2023,D,15,812729,4137949,28.1,FHCF,233,T,1,218
353,10/11/2017,D,16,285257,4144015,22.1,FHCF,234,T,1,94
,9/3/1991,H,15,816121,4119896,27.3,FHCF,234,T,1,120
Cottonwood,9/16/2021,D,15,807529,4168500,26.6,FHCF,235,T,1,110
,9/17/2007,F,15,823030,4105248,23.2,FHCF,235,T,1,245
SANTA FE,9/18/2018,HS,15,816730,4118849,24.3,FHCF,236,T,1,130
,9/18/1991,H,15,807917,4167674,23.9,FHCF,236,T,1,130
,9/2/1992,M,16,275798,4125010,24.8,FHCF,236,T,1,135
SANTA FE,7/29/1992,F,15,820498,4114719,27.1,FHCF,236,T,1,150
MUDDY,9/20/2007,D,15,808293,4164767,24.1,FHCF,236,T,1,235
,9/25/1991,D,15,807513,4164845,17.2,FHCF,238,T,1,120
Cottonwood,9/26/2019,D,15,807779,4168500,24.2,FHCF,238,T,1,128
MARQ,7/21/1992,H,15,810914,4129126,26.4,FHCF,240,T,1,145
,9/26/2008,D,15,822380,4106648,22.4,FHCF,240,T,1,145
,8/13/1991,D,15,816643,4143917,26,FHCF,241,T,1,140
,6/17/1992,N,15,807473,4163214,25.7,FHCF,242,T,1,100
SANTA FE,7/23/1991,N,15,820498,4114719,31,FHCF,243,T,1,140
116,8/3/2023,D,16,284253,4136358,27.8,FHCF,243,T,1,160
,10/9/2020,D,15,822430,4109599,18.5,FHCF,244,T,1,111
,9/29/2023,D,15,809179,4131799,25.3,FHCF,244,T,1,132
523,9/28/2023,D,16,277281,4157261,24.8,FHCF,244,T,1,136
,9/3/1991,H,15,816121,4119896,27.3,FHCF,245,T,1,140
,10/27/2023,D,15,818380,4114599,17.7,FHCF,245,T,1,154
SANTA FE,7/29/1991,D,15,820498,4114719,24,FHCF,245,T,1,165
,6/24/1992,D,15,807473,4163214,26.2,FHCF,246,T,1,135
Cottonwood,9/26/2019,D,15,807429,4167300,24.3,FHCF,246,T,1,140
,9/29/2023,D,15,809179,4131799,25.3,FHCF,246,T,1,192
,8/25/1992,H,15,811224,4136689,26.8,FHCF,246,T,1,370
,9/17/2019,D,15,816779,4145749,26.4,FHCF,247,T,1,134
,9/17/2019,D,15,816779,4145749,26.4,FHCF,247,T,1,149
,10/12/2023,D,15,815829,4142849,21.4,FHCF,248,T,1,154
,9/30/2013,D,15,823230,4104448,23,FHCF,248,T,1,165
,7/2/1991,D,15,816643,4143917,27.8,FHCF,250,T,1,120
,9/17/2018,D,15,809729,4135549,24.2,FHCF,250,T,1,152
,9/9/1991,D,15,817495,4116734,24,FHCF,253,T,1,205
,10/11/2017,D,15,807879,4159400,22,FHCF,254,T,1,168
PICAY,8/14/1992,D,15,816571,4138554,25,FHCF,255,T,1,158
SCHIN,7/20/1992,F,15,815993,4144592,26.2,FHCF,255,T,1,160
,8/13/1992,D,15,808251,4164767,28,FHCF,256,T,1,160
,8/21/1991,H,15,810489,4128656,25.8,FHCF,256,T,1,165
,6/24/1992,D,15,810646,4155129,25.3,FHCF,256,T,1,170
206,9/30/2013,D,16,288606,4104861,23,FHCF,256,T,1,170
BEDROCK,6/24/1992,D,15,807321,4167599,27.2,FHCF,257,T,1,155
BEAVER,7/30/1991,D,15,821099,4111775,25.2,FHCF,257,T,1,155
BEDROCK,6/24/1992,D,15,807321,4167599,27.2,FHCF,258,T,1,165
BUMGAURD,9/25/2015,D,16,288436,4103655,23.7,FHCF,258,T,1,172
,8/25/1992,F,15,816643,4143917,25.7,FHCF,258,T,1,210
SANTA FE,9/18/2002,HS,16,287687,4110242,22.8,FHCF,260,T,1,100
,10/19/2015,D,15,806863,4164360,17.2,FHCF,260,T,1,165
,7/9/1991,N,15,811224,4136689,29,FHCF,260,T,1,170
,9/16/1991,H,15,813867,4151315,25.6,FHCF,260,T,1,225
Santa Fe,9/17/2020,D,15,819880,4115349,23.7,FHCF,261,T,1,177
,10/29/2015,D,16,278956,4154172,17.1,FHCF,262,T,1,166
399,10/2/2015,D,16,283152,4148156,21.8,FHCF,264,T,1,220
BEDROCK,6/27/1991,N,15,807321,4167599,26.5,FHCF,265,T,1,160
Santa Fe,9/17/2020,D,15,819880,4115349,23.7,FHCF,265,T,1,171
,9/3/1991,N,15,531009,4939853,23,FHCF,265,T,1,204
MARQ,7/28/1992,N,15,810914,4129126,26,FHCF,266,T,1,170
SANTA FE,7/29/1992,F,15,820498,4114719,27.1,FHCF,266,T,1,190
Cottonwood,9/23/2019,HS,15,807629,4168550,25.1,FHCF,266,T,1,221
,8/5/1991,H,15,809534,4155918,27.8,FHCF,267,T,1,175
,6/29/1992,H,15,809534,4155918,26.8,FHCF,267,T,1,180
,7/26/1991,D,15,810109,4156397,28.2,FHCF,268,T,1,175
,10/1/1992,N,15,811224,4136689,19,FHCF,268,T,1,210
,8/28/1992,D,15,810646,4155129,25.3,FHCF,269,T,1,185
,6/30/2023,D,15,821880,4107249,28.2,FHCF,269,T,1,188
5,9/21/2020,D,16,276730,4129308,21.2,FHCF,269,T,1,240
SANTA FE,9/17/2015,D,16,286257,4113002,24,FHCF,269,T,1,292
Bumgard,10/11/2018,D,15,822780,4105699,18.9,FHCF,272,T,1,152
,10/29/2010,D,16,277432,4131522,15.4,FHCF,272,T,1,210
,6/18/1992,N,15,816643,4143917,25.9,FHCF,273,T,1,220
SANTA FE,9/17/2015,D,16,286257,4113002,24,FHCF,274,T,1,232
,9/26/1991,D,15,816643,4143917,17.2,FHCF,275,T,1,165
,10/29/1992,D,15,808251,4164767,14.4,FHCF,275,T,1,205
DITCH,9/24/2015,D,16,276092,4125133,24.3,FHCF,276,T,1,202
452,10/21/2004,D,16,279800,4151381,15.3,FHCF,276,T,1,205
SANTA FE,7/29/1992,F,15,820498,4114719,27.1,FHCF,277,T,1,195
PICAY,7/28/1992,D,15,813124,4136665,27,FHCF,278,T,1,190
PICAY,6/25/1992,D,15,816571,4138554,25.9,FHCF,278,T,1,205
Cottonwood,9/26/2019,D,15,807779,4168500,24.2,FHCF,279,T,1,208
,9/22/1992,F,15,807473,4163214,22.9,FHCF,280,T,1,190
,9/17/2019,D,15,816779,4145749,26.4,FHCF,281,T,1,240
,9/30/2013,D,15,823230,4104448,23,FHCF,281,T,1,272
BUMGARD,9/3/1991,F,15,822375,4106344,26.4,FHCF,282,T,1,245
,10/20/2005,D,15,807279,4167050,18.9,FHCF,283,T,1,250
Santa Fe,9/17/2020,D,15,819730,4115849,23.7,FHCF,284,T,1,190
,10/19/2017,D,16,283786,4113801,17.9,FHCF,286,T,1,212
,9/21/1992,H,15,807917,4167674,23,FHCF,287,T,1,220
,9/30/1991,F,15,813091,4137963,19.4,FHCF,287,T,1,230
,6/24/1992,D,15,807473,4163214,26.2,FHCF,287,T,1,240
,9/17/2019,D,15,816779,4145749,26.4,FHCF,287,T,1,270
,9/3/1991,N,15,534080,4938905,23,FHCF,288,T,1,236
